MetaData
Device name,Address,Record name,Start,End,Logging frequency,Ringbuffer frequency
1-01107,EA:5E:A0:E1:13:3F,,24.10.2025 16:14:56,24.10.2025 16:17:17,10.0,-
Sensor-id,0,1,2,3
Description,Ch1,Ch2,Ch3,Ch4
Unit,mA,mA,mA,mA
App version,6.3.0
App hash,appInfoView.commitShaUnknown
Firmware version,6.2.0
Firmware hash,6e2bd86
Phone model,SM-A528B
Phone OS,14




Sensordata
Time in ms,Ch1  in  mA,Ch2  in  mA,Ch3  in  mA,Ch4  in  mA,
34500,0.10708787546309395,7.671777983191987,5.3006649349777035,6.328671918364307,
34600,0.11370120790024885,7.669997194435837,5.301250153863293,6.334096861530725,
34700,0.11042685438087574,7.670112084033008,5.300320266186191,6.330538874318336,
34800,0.11559329595365853,7.667397817299843,5.3027401283266045,6.332387878772806,
34900,0.10508089781251329,7.666618722219027,5.301659448053215,6.347740001194779,
35000,0.1095903145014745,7.670966575411967,5.303774134701143,6.422572622252119,
35100,0.11627545293686126,7.6677209442918866,5.3017420249511815,6.5729666952488515,
35200,0.11639752313385543,7.670435211025051,5.300977291070012,6.741983653887019,
35300,0.11321292711227215,7.668514400572349,5.300715199176466,6.853796364033769,
35400,0.10984163549528603,7.670137216132389,5.302829885824394,6.975367509340231,
35500,0.12286724357454659,7.668169731780836,5.302014887744463,7.087668500274958,
35600,0.1116834593499334,7.667860965988439,5.2987225827255315,7.197502955170421,
35700,0.12016015744120523,7.671092235908873,5.299781721199452,7.293141364215444,
35800,0.11746743250751024,7.670022326535218,5.298614873728184,7.397479069946257,
35900,0.10998524749174976,7.670209022130621,5.3002771825872514,7.436900562975552,
36000,0.11378378479821549,7.667656318893478,5.300833679073548,7.55424951558598,
36100,0.11934874966118514,7.664127054080382,5.30018383478955,7.621054226040997,
36200,0.10863888502490227,7.671709767493667,5.299781721199452,7.750297842258533,
36300,0.1091056240134094,7.666615131919116,5.297781924148694,7.836249622142077,
36400,0.11794853269566374,7.669774595841318,5.297415713557712,7.921468980843656,
36500,0.1112562136604538,7.667799930889942,5.303673606303619,8.00775824891889,
36600,0.11280722322226211,7.670539329722487,5.303802857100436,8.04599853327727,
